1254,ランダム番号,年号補助,和暦,人物２,人物３,人物,抽出ワード,歴史カード,Timestamp,項目,メモ,本
,807,1993,,,ICD-10,,,精神医学,,,,
,537,1994,,,愛国主義教育実施要綱,,,中国,,,,
,708,1994,,,DSM－Ⅳ,,,精神医学,,,,
,721,1994,,,マンデラ大統領就任式,,,アフリカ,,,,
,722,1995,,,南アフリカで第3回ラグビーW杯,,,アフリカ,,,,
,1557,1995,,,WTO成立,,,,,,,
,1603,1995,,,資本移動の自由化,,,経済　政治　アメリカ,,,,
見えない世界戦争,1898,1995,,,個人データ保護指令,欧州委員会,,ヨーロッパ,,,,
,538,1996,9月,,モンデール発言,島紛争に米軍介入義務はない,,日本　アジア,,,,
,539,1996,3月,,台湾海峡ミサイル事件,,,アジア,,,,
,1292,1996,,,ＩＤ3ｖ1,,エリック・ケンプ,文化,,,,
,540,1997,,,アジア通貨危機,,,経済,,,,
,541,1997,,,江沢民のパールハーバー視察,反日のエール交換,,中国　アメリカ,,,,
,1514,1997,,,「雲龍図」,天竜寺,加山又造,日本　文化　美術,,,,
,1679,1997,,,ディープ・ブルーがチェスチャンピオン破る,,,IT,,,,
,542,1998,,,クリントン大統領の西安訪問,反日のエール交換,,中国　アメリカ,,,,
,1650,1998,,,ローマ規程,侵略犯罪をも裁く（留保）,,安全保障,,,,
,1667,1998,,,電子図書館構想,国会図書館,,IT　日本,,,,
,1823,1998,,,智積院　講堂襖絵,,田淵俊夫,文化　美術　日本,,,,
,543,1999,,,国旗国歌法,,,日本,,,,
,703,1999,,,学習障害を文部省が定義,,,精神医学,,,,
,1596,1999,,,金融サービス近代化法,,,アメリカ　経済,,,,
,1649,1999,,,周辺事態法,,,安全保障,,,,
,1874,1999,,,グラス・スティーガル法を廃止,,,アメリカ,,,,
,544,2000,,,国際組織犯罪防止条約,,,国連　人権,,,,
,1875,2000,,,商品先物近代化法,,,アメリカ,,,,
,1979,2000,,,EU基本権憲章,,,ヨーロッパ,,,,
,545,2001,,,DV防止法,,,日本　人権,,,,
,715,2002,,,文部科学省調査・児童生徒の6.3％に学習面や行動面で困難,,,精神医学,,,,
,1609,2002,,,ユーロ導入,,,経済　政治　ヨーロッパ,,,,
,1736,2002,,,サーベンス・オックスリー法,,,,,,,
見えない世界戦争,1892,2002,,,テロリスト監視プログラム,,ブッシュ,安全保障　アメリカ,,,,
,1669,2003,,,デジタル遺産の保存に関する憲章,ユネスコ,,IT,,,,
,1668,2004,,,電子図書館の中期計画,国会図書館,,IT　日本,,,,
,1671,2004,,,グーグルブックス計画（グーグルプリント）,,,IT　アメリカ,,,,
,1977,2004,,,EUに旧共産圏の加入が認められる,,,ヨーロッパ,,,,
,546,2005,,,パブの営業時間に関する法律を緩和,,,イギリス　文化　食,,,,
,689,2005,,,発達障害者支援法,,,精神医学,,,,
,864,2005,,,国語基本法,,,朝鮮　韓国,,,,
,1666,2005,,,「Googleとの闘い」,,,IT　フランス,,,,
,1670,2005,,,「i2010：欧州情報社会2010」イニシアティブ,ユーロビアーナ,,IT　ヨーロッパ,,,,
,547,2007,,,海洋基本法（日本）,,,日本　安全保障,,,,
,716,2007,,,文部科学省通知「特別支援教育の推進について」,,,精神医学,,,,
,1872,2007,,,電子式診療内容報告書,,,アメリカ,,,,
見えない世界戦争,1893,2007,,,米国保護法,,,安全保障　アメリカ,,,,
,1988,2007,,,EU　リスボン条約,,,ヨーロッパ,,,,
,1598,2008,9月15日,,リーマン・ショック,,,アメリカ　経済,,,,
見えない世界戦争,1894,2008,,,改正FIS法,,,安全保障　アメリカ,,,,
,1673,2009,,,国会図書館法改正,オンライン図書の収集PJ,,IT　日本,,,,
見えない世界戦争,1901,2009,,,サイバー指令部,,オバマ,安全保障　アメリカ,,,,
,548,2010,,,海島保護法（中国）,,,中国　安全保障,,,,
,1651,2010,,,ローマ規程の侵略犯罪に関する留保がなくなる,,,安全保障,,,,
,1674,2011,,,公文書法,各官公庁が保存期間を定める,,IT　日本,,,,
,1672,2012,,,著作権法改正,国会図書館の配信可,,IT　日本,,,,
,1678,2012,,,知のデジタルアーカイブ提言,総務省の有識者研究会,,IT　日本,,,,
,1681,2012,,,孤児著作物ディレクティブ（指令）,EU,,IT　ヨーロッパ,,,,
見えない世界戦争,1899,2012,1月,,個人データ保護規則案,欧州委員会　忘れられる権利,,ヨーロッパ,,,,
,706,2013,,,DSM－５,,,精神医学,,,,
,1676,2013,,,東日本大震災アーカイブ,ひなぎく,,IT　日本,,,,
,1677,2013,,,震災関連デジタルアーカイブのためのガイドライン,,,IT　日本,,,,
,1680,2013,,,将棋ソフトが団体戦で勝利,,,IT　日本,,,,
,1682,2013,,,20世紀絶版書籍のデジタル化法,フランス,,IT　フランス,,,,
,1683,2013,,,公文書公開義務方針を拡張,EU,,IT　ヨーロッパ,,,,
,1876,2013,12月,,特定秘密保護法,,,日本,,,,
,1877,2013,12月,,国家戦略特区法,,,日本,,,,
見えない世界戦争,1902,2013,,,タリンマニュアル,NATOサイバー防衛センター,,安全保障　ヨーロッパ,,,,
,1613,2014,,,帰真園,二子玉川,,日本　文化,,,,
見えない世界戦争,1900,2014,3月,,サイバー防衛隊,防衛省,,安全保障　日本,,,,
,1950,2014,,,クリミヤがウクライナから独立,国民投票,,ヨーロッパ,,,,
,1993,-45,,,ユリウス暦採用,,,文化　科学　ヨーロッパ,,,,
,1994,325,,,ニカイア公会議,復活祭の日どり　春分の日,,文化　科学　ヨーロッパ,,,,
,1995,1873,,,日本がグレゴリオ暦へ,,,日本　文化　科学,,,,
,1996,604,,,元嘉暦,日本の暦日始用,推古天皇,日本　文化　科学,,,,
,1997,691,,,儀鳳暦,,文武天皇,日本　文化　科学,,,,
,1998,763,,,大衍暦,,吉備真備,日本　文化　科学,,,,
,1999,1684,,,貞享暦,,,日本　文化　科学,,,,
,2000,1755,,,宝暦暦,,,日本　文化　科学,,,,
,2001,1798,,,寛政暦,,,日本　文化　科学,,,,
,2002,1844,,,天保暦,,,日本　文化　科学,,,,
,2003,1932,,,和光ビル,,,日本　文化　美術,,,,
,2004,1884,,,ブルガリ,,,ヨーロッパ　文化,,,,
,2005,1925,,,「朝凉」,,鏑木清方,日本　文化　美術,,,,
,2006,1052,,,末法元年,,,日本　文化　宗教,,,,
,2007,1806,,,榛原,和紙,,日本　文化,,,,
,2008,1894,,,豊島屋本店,鎌倉,鳩サブレー,,,,,
,2009,1699,,,にんべん,,,,,,,
,2010,1936,,,軽井沢万平ホテル　本館アルプス館,久米権九郎,,,,,,
,2011,1934,,,築地本願寺,,,,,,,
,2012,1937,,,ゴールデンゲートブリッジ,,,,,,,
,2013,1885,,,華族女学校,,,,,,,
,2014,1910,,,遠野物語,,,,,,,
サイコパス,2015,1891,,,コッホ「サイコパス的障害」,,コッホ,科学,,,,
サイコパス,2016,1899,,,クレペリンの精神障害教科書第６版,,クレペリン,科学,,,,
サイコパス,2017,1801,,,ピネル「○妄なき狂気」,,ピネル,科学,,,,
サイコパス,2018,1941,,,クレックレー「正気の仮面」,,クレックレー,科学,,,,
サイコパス,2019,1957,,,リッケンの嫌悪条件付け実験,,リッケン,科学,,,,
サイコパス,2020,1970,,,グレイのサイコパス特有の不安感欠如の仮設,,グレイ,科学,,,,
サイコパス,2021,1970,,,ヘア「サイコパス：理論と調査」,,ロバート・ヘア,科学,,,,
サイコパス,2022,1946,,,ボウルビィ「44人の少年泥棒たち」,,ボウルビィ,科学,,,,
,2023,,,,,,,,,,,
,2024,,,,,,,,,,,
,2025,,,,,,,,,,,
,2026,,,,,,,,,,,
,2027,,,,,,,,,,,
,2028,,,,,,,,,,,
,2029,,,,,,,,,,,
